	surface_aut_bureaux	annee	crise	trimestre	surface_aut_commerce	surface_aut_industriel	surface_aut_ensemble	ca_industriemanuf	ca_construction	ca_commerce	tuc_industriet	ipc_moyt	ICCt	tx_chomaget	idtemp
11	1381329	2001	0	t3	1264809	2854147	11829029	87.3633333333333	61.61	73.5066666666667	84.9	81.53	70.599999999999994	7.4	2001t3
12	1561073	2001	0	t4	1199740	3137991	11487264	86.0433333333333	66.83	74.2566666666667	84.2	81.5666666666667	70.299999999999997	7.5	2001t4
13	1033199	2002	0	t1	1019931	2714281	9506396	86.4066666666667	58.9	74.23	84.1	82.1266666666667	71.5	7.5	2002t1
14	1086113	2002	0	t2	1146277	2573010	10636829	86.61	69.07	75.1466666666667	85.1	82.7733333333333	71.799999999999997	7.5	2002t2
15	1082515	2002	0	t3	1253061	2373012	10452666	86.8166666666667	67.6733333333333	75.7	84.1	82.9766666666667	72.200000000000003	7.5	2002t3
16	1208306	2002	0	t4	1186975	2663753	10277015	87.24	70.1633333333333	76.5	83.3	83.3166666666667	72.299999999999997	7.6	2002t4
17	1080909	2003	0	t1	1149879	2369668	9385789	87.86	63.02	77	83.4	84.07	73	8.0	2003t1
18	1020193	2003	0	t2	1196913	2517151	10425840	86.49	71.3933333333333	76.5666666666667	82.8	84.3566666666667	74.200000000000003	8.1	2003t2
19	965905	2003	0	t3	1184312	2516089	10411229	86.8166666666667	70.9333333333333	77.35	82.7	84.58	74.200000000000003	8.0	2003t3
20	1148627	2003	0	t4	1419202	2275551	10082514	87.95	72.8833333333333	77.5433333333333	82.3	85.1366666666667	74.900000000000006	8.4	2003t4
21	858896	2004	0	t1	1078368	1952090	8951789	88.5133333333333	68.2333333333333	79.02	82.7	85.5833333333333	75.599999999999994	8.6	2004t1
22	976037	2004	0	t2	1181901	2255914	10271616	88.6466666666667	79.4666666666667	79.8833333333333	82.6	86.3733333333333	78.200000000000003	8.4	2004t2
23	1102199	2004	0	t3	1212074	2208135	10127444	89.0833333333333	77.3566666666667	80.1633333333333	82.8	86.5133333333333	78.5	8.5	2004t3
24	1112363	2004	0	t4	1335169	2199909	9661455	89.8366666666667	81.0633333333333	81.2433333333333	82.9	86.9166666666667	78.299999999999997	8.5	2004t4
25	1091183	2005	0	t1	1134333	2239224	9634436	90.3833333333333	73.2933333333333	81.54	82.7	87.0566666666667	78.400000000000006	8.3	2005t1
26	997488	2005	0	t2	1418651	2527555	11185530	89.1333333333333	87.0966666666666	82.1133333333333	82.6	87.8433333333333	78.700000000000003	8.4	2005t2
27	1228751	2005	0	t3	1561405	2398916	11729813	91.23	83.2133333333333	83.2666666666667	82.8	88.14	78.900000000000006	8.6	2005t3
28	1288836	2005	0	t4	1478674	2352290	11029748	92.2733333333333	88.9333333333333	84.33	82.4	88.3766666666667	82.200000000000003	8.7	2005t4
29	1354836	2006	0	t1	1456843	2469370	11239582	90.6833333333333	82.87	84.8266666666667	83.4	88.61	84	8.7	2006t1
30	1175744	2006	0	t2	1262379	2463642	11541433	95.7533333333333	93.81	86.5033333333333	84.2	89.5233333333333	84.299999999999997	8.6	2006t2
31	1390278	2006	0	t3	1586324	2468590	12096015	95.52	92.6033333333333	86.8966666666667	85.1	89.6333333333333	85.200000000000003	8.5	2006t3
32	1663262	2006	0	t4	1426768	2685368	12390820	95.82	100.31	87.5866666666667	85.6	89.5366666666667	86.700000000000003	8.0	2006t4
33	1459959	2007	0	t1	1381970	2741121	11628912	96.7266666666667	93.7933333333333	89.03	84.8	89.64	85.5	8.1	2007t1
34	1382309	2007	0	t2	1343275	2619809	11844374	99.1633333333333	105.33	90.3533333333333	85.9	90.5733333333333	88.5	7.8	2007t2
35	1543234	2007	0	t3	1623084	2885722	13078560	98.9066666666667	103.72	90.98	85.9	90.77	89	7.6	2007t3
36	1408067	2007	0	t4	1464592	2617246	11846204	100.773333333333	111.916666666667	92.6966666666667	86.7	91.6366666666667	90.900000000000006	7.1	2007t4
37	1376069	2008	1	t1	1214301	2393824	11044052	103.133333333333	103.413333333333	94.7166666666667	86.4	92.2833333333333	92.400000000000006	6.8	2008t1
38	1574593	2008	1	t2	1243706	2310338	12272701	103.886666666667	114.473333333333	94.7966666666667	85.5	93.5666666666667	96.400000000000006	7.0	2008t2
39	1563845	2008	1	t3	1246829	2289977	12343472	104.11	111.223333333333	95.3666666666667	84.9	93.72	98.299999999999997	7.1	2008t3
40	1517367	2008	1	t4	1492436	2134288	12263698	99.9466666666667	116.55	92.8633333333333	83.2	93.25	94	7.4	2008t4
41	1340861	2009	1	t1	1389378	1225428	11133229	93.7966666666667	95.9833333333333	89.13	75.4	92.86	92.700000000000003	8.2	2009t1
42	1166807	2009	1	t2	1390584	1056296	10683947	93.0766666666667	103.84	88.5966666666666	72.2	93.3733333333333	92.400000000000006	8.8	2009t2
43	1255943	2009	1	t3	1218263	1246675	11276597	93.5333333333333	99.3033333333333	88.6233333333333	73.3	93.3233333333333	92.700000000000003	8.8	2009t3
44	962840	2009	1	t4	1194111	1194434	10776415	94.1466666666667	101.703333333333	89.5733333333333	75.4	93.59	93	9.1	2009t4
45	902985	2010	1	t1	1185292	958766	9553345	93.1566666666667	85.6733333333333	90.1133333333333	75.2	94.09	93	9.0	2010t1
46	975243	2010	1	t2	1202839	848001	10558749	95.01	96.74	91.8666666666667	77.5	94.88	93.599999999999994	8.9	2010t2
47	1421693	2010	1	t3	1194005	1111969	11197433	97.8766666666667	95.91	93.0766666666667	77.9	94.7633333333333	93.799999999999997	8.8	2010t3
48	1145733	2010	1	t4	1628986	1305381	11322767	99.0133333333333	107.076666666667	94.91	79.5	95.1266666666667	94.599999999999994	8.8	2010t4
49	1092779	2011	1	t1	1402673	984159	10513535	101.373333333333	95.0066666666667	97.1933333333333	80.7	95.78	95.900000000000006	8.8	2011t1
50	1125482	2011	1	t2	1172108	1000578	10839572	102.693333333333	107.163333333333	97.7433333333333	82.6	96.84	98.299999999999997	8.7	2011t2
51	1273621	2011	1	t3	1501583	1133996	11637666	103.536666666667	105.966666666667	98.4066666666667	82.5	96.79	100.2	8.8	2011t3
52	1408994	2011	1	t4	1548320	1284006	11584128	102.516666666667	114.87	99.1833333333333	82.6	97.45	101.09999999999999	9.0	2011t4
53	1475834	2012	1	t1	1464906	1240523	10782817	103.536666666667	99.4866666666667	99.8066666666667	81.3	97.9966666666667	99.799999999999997	9.1	2012t1
54	1221843	2012	1	t2	1254566	861725	10570508	103.486666666667	105.12	100.02	81.4	98.7766666666667	102.8	9.3	2012t2
55	1671800	2012	1	t3	1560025	1062973	11533990	103.25	105.956666666667	100.493333333333	80.5	98.7033333333333	101.7	9.4	2012t3
56	1256312	2012	1	t4	1416951	1041889	10606887	102.896666666667	114.48	100.746666666667	80.3	98.9433333333333	101.09999999999999	9.7	2012t4
57	1121562	2013	1	t1	1297266	1103186	9853011	102.623333333333	95.7566666666667	99.9866666666667	80.9	99.0366666666667	101.59999999999999	9.9	2013t1
58	1025656	2013	1	t2	1218228	754685	10167327	102.496666666667	102.796666666667	99.8866666666667	80.4	99.5733333333333	101	10.1	2013t2
59	1064902	2013	1	t3	1233411	826476	10760104	103.24	105.18	100	80.2	99.63	99.5	9.9	2013t3
60	1672589	2013	1	t4	1496518	932293	9988793	102.45	114.74	100.363333333333	80.4	99.5866666666667	99.599999999999994	9.8	2013t4
61	1187908	2014	1	t1	1100596	777636	9335235	102.843333333333	93.0866666666667	99.7866666666667	80.6	99.7566666666667	101.7	9.8	2014t1
62	966411	2014	1	t2	1018339	825561	8700482	102.063333333333	101.473333333333	99.5733333333333	80.5	100.2	100	9.8	2014t2
63	1081788	2014	1	t3	1059414	884268	9340067	101.196666666667	100.773333333333	99.6633333333333	81.9	100.026666666667	100.40000000000001	10.0	2014t3
64	910643	2014	1	t4	1022185	826238	8101750	100.743333333333	112.006666666667	99.04	80.8	99.8633333333333	100.3	10.1	2014t4
65	923297	2015	1	t1	898693	693085	7705099	99.65	91.9233333333333	99.1033333333333	80.8	99.5166666666667	100.7	10.0	2015t1
66	799344	2015	1	t2	944512	774122	8985569	100.66	100.733333333333	100.383333333333	82.3	100.413333333333	99.599999999999994	10.2	2015t2
67	1263123	2015	1	t3	1109954	856940	9069485	100.036666666667	97.25	100.506666666667	82.0	100.11	99.200000000000003	10.1	2015t3
68	1132595	2015	1	t4	1177071	878910	9051683	99.66	110.096666666667	100.003333333333	82.3	99.9566666666667	100.5	9.9	2015t4
69	863915	2016	1	t1	1168511	700790	8680506	99.09	93.1233333333333	100.896666666667	81.0	99.4766666666667	99.599999999999994	9.9	2016t1
70	1179371	2016	1	t2	1131486	811026	9155611	100.236666666667	100.996666666667	100.836666666667	82.3	100.406666666667	100.09999999999999	9.7	2016t2
71	1123276	2016	1	t3	1508691	918283	9757072	100.72	95.7833333333333	101.06	83.5	100.39	101.40000000000001	9.7	2016t3
72	1277860	2016	1	t4	1253133	966489	9481666	103.08	110.033333333333	102.803333333333	82.9	100.456666666667	101.5	9.7	2016t4
73	832064	2017	1	t1	1142457	776674	8832279	104.513333333333	96.9333333333333	105.3	83.9	100.703333333333	101.8	9.3	2017t1
74	1256188	2017	1	t2	1371726	785692	9385075	105.323333333333	107.606666666667	105.393333333333	83.8	101.296666666667	102.7	9.2	2017t2
75	1410657	2017	1	t3	1366929	1241137	11129247	107.103333333333	100.94	107.35	84.6	101.263333333333	103	9.3	2017t3
76	1462803	2017	1	t4	1364386	963746	10276055	109.746666666667	116.973333333333	109.08	84.5	101.603333333333	102.90000000000001	8.6	2017t4
77	1512671	2018	1	t1	957852	939555	9952417	108.953333333333	102.786666666667	109.783333333333	85.8	102.073333333333	103.09999999999999	8.9	2018t1
78	1009805	2018	1	t2	1016719	804414	8716868	110.763333333333	108.113333333333	111.416666666667	85.2	103.216666666667	104.8	8.8	2018t2
79	1476550	2018	1	t3	948168	1113761	10125547	112.07	106.876666666667	111.996666666667	85.3	103.54	106.90000000000001	8.8	2018t3
80	1471309	2018	1	t4	1038966	1086701	9865119	112.89	126.513333333333	113.26	85.0	103.53	105.09999999999999	8.5	2018t4
81	1332445	2019	1	t1	870615	971448	10547185	113.463333333333	107.926666666667	114.003333333333	84.9	103.32	106.59999999999999	8.4	2019t1
82	1324826	2019	1	t2	1071396	966114	10238469	113.646666666667	119.43	115.286666666667	84.6	104.376666666667	107.7	8.2	2019t2
